id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag,keepID
Tiktok Live:Go Live Settings:SettingsMap:Allow others to invite you to co-host in LIVE,Allow others to invite you to co-host in LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow others to invite you to co-host in LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow others to invite you to co-host in LIVE""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow others to invite you to co-host in LIVE
Tiktok Live:Go Live Settings:SettingsMap:Allow people to send and receive comments during your LIVE,Allow people to send and receive comments during your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow people to send and receive comments during your LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow people to send and receive comments during your LIVE""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow people to send and receive comments during your LIVE
Tiktok Live:Go Live Settings:SettingsMap:Allow suggested LIVE hosts to invite you to co-host in LIVE,Allow suggested LIVE hosts to invite you to co-host in LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow suggested LIVE hosts to invite you to co-host in LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow suggested LIVE hosts to invite you to co-host in LIVE""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow suggested LIVE hosts to invite you to co-host in LIVE
Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to request to go LIVE with you,Allow viewers to request to go LIVE with you,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to request to go LIVE with you""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to request to go LIVE with you""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to request to go LIVE with you
Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to see and send questions and answers in your LIVE,Allow viewers to see and send questions and answers in your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to see and send questions and answers in your LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to see and send questions and answers in your LIVE""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to see and send questions and answers in your LIVE
Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to send you gifts during your LIVE,Allow viewers to send you gifts during your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to send you gifts during your LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to send you gifts during your LIVE""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to send you gifts during your LIVE
Tiktok Live:Go Live Settings:SettingsMap:Hide potential spam or offensive comments from your LIVE,Hide potential spam or offensive comments from your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide potential spam or offensive comments from your LIVE""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide potential spam or offensive comments from your LIVE""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Hide potential spam or offensive comments from your LIVE
Tiktok Live:Go Live Settings:SettingsMap:Show your username and gift information in features with ranking lists,Show your username and gift information in features with ranking lists,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Show your username and gift information in features with ranking lists""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Show your username and gift information in features with ranking lists""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Show your username and gift information in features with ranking lists
Tiktok Live:Watch Live Settings:WatchLiveSettingsMap:app,app,"[""Tiktok Live"", ""Watch Live Settings"", ""WatchLiveSettingsMap"", ""app""]",,"[""Tiktok Live"", ""Watch Live Settings"", ""WatchLiveSettingsMap"", ""app""]",static,string,,No,
Tiktok Live:Watch Live Settings:WatchLiveSettingsMap:web,web,"[""Tiktok Live"", ""Watch Live Settings"", ""WatchLiveSettingsMap"", ""web""]",,"[""Tiktok Live"", ""Watch Live Settings"", ""WatchLiveSettingsMap"", ""web""]",static,string,,No,
