id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path,duplicate_flag
recommended_topics:href,href,"['topics_your_topics', 'string_map_data', 'Name', 'href']",,"[""topics_your_topics"", ""string_map_data"", ""Name"", ""href""]",static,string,recommended_topics.json,preferences/your_topics/recommended_topics.json,No
recommended_topics:value,value,"['topics_your_topics', 'string_map_data', 'Name', 'value']",,"[""topics_your_topics"", ""string_map_data"", ""Name"", ""value""]",static,string,recommended_topics.json,preferences/your_topics/recommended_topics.json,No
recommended_topics:timestamp,timestamp,"['topics_your_topics', 'string_map_data', 'Name', 'timestamp']",,"[""topics_your_topics"", ""string_map_data"", ""Name"", ""timestamp""]",static,number,recommended_topics.json,preferences/your_topics/recommended_topics.json,No
saved_collections:value,value,"['saved_saved_collections', 'string_map_data', 'Name', 'value']",,"[""saved_saved_collections"", ""string_map_data"", ""Name"", ""value""]",static,string,saved_collections.json,your_instagram_activity/saved/saved_collections.json,No
saved_collections:Creation Time:timestamp,timestamp,"['saved_saved_collections', 'string_map_data', 'Creation Time', 'timestamp']",,"[""saved_saved_collections"", ""string_map_data"", ""Creation Time"", ""timestamp""]",static,number,saved_collections.json,your_instagram_activity/saved/saved_collections.json,No
saved_collections:Update Time:timestamp,timestamp,"['saved_saved_collections', 'string_map_data', 'Update Time', 'timestamp']",,"[""saved_saved_collections"", ""string_map_data"", ""Update Time"", ""timestamp""]",static,number,saved_collections.json,your_instagram_activity/saved/saved_collections.json,No
reels_comments:Comment:value,value,"['comments_reels_comments', 'string_map_data', 'Comment', 'value']",,"[""comments_reels_comments"", ""string_map_data"", ""Comment"", ""value""]",static,string,reels_comments.json,your_instagram_activity/comments/reels_comments.json,No
reels_comments:Media Owner:value,value,"['comments_reels_comments', 'string_map_data', 'Media Owner', 'value']",,"[""comments_reels_comments"", ""string_map_data"", ""Media Owner"", ""value""]",static,string,reels_comments.json,your_instagram_activity/comments/reels_comments.json,No
reels_comments:timestamp,timestamp,"['comments_reels_comments', 'string_map_data', 'Time', 'timestamp']",,"[""comments_reels_comments"", ""string_map_data"", ""Time"", ""timestamp""]",static,number,reels_comments.json,your_instagram_activity/comments/reels_comments.json,No
reels:source_app,source_app,"['ig_reels_media', 'media', 'cross_post_source', 'source_app']",,"[""ig_reels_media"", ""media"", ""cross_post_source"", ""source_app""]",static,string,reels.json,your_instagram_activity/media/reels.json,No
stories:has_camera_metadata,has_camera_metadata,"['ig_stories', 'media_metadata', 'camera_metadata', 'has_camera_metadata']",,"[""ig_stories"", ""media_metadata"", ""camera_metadata"", ""has_camera_metadata""]",static,boolean,stories.json,your_instagram_activity/media/stories.json,Yes
stories:has_camera_metadata,has_camera_metadata,"['ig_stories', 'media_metadata', 'camera_metadata', 'has_camera_metadata']",,"[""ig_stories"", ""media_metadata"", ""camera_metadata"", ""has_camera_metadata""]",static,boolean,stories.json,your_instagram_activity/media/stories.json,Yes
profile_photos:has_camera_metadata,has_camera_metadata,"['ig_profile_picture', 'media_metadata', 'camera_metadata', 'has_camera_metadata']",,"[""ig_profile_picture"", ""media_metadata"", ""camera_metadata"", ""has_camera_metadata""]",static,boolean,profile_photos.json,your_instagram_activity/media/profile_photos.json,Yes
profile_photos:has_camera_metadata,has_camera_metadata,"['ig_profile_picture', 'media_metadata', 'camera_metadata', 'has_camera_metadata']",,"[""ig_profile_picture"", ""media_metadata"", ""camera_metadata"", ""has_camera_metadata""]",static,boolean,profile_photos.json,your_instagram_activity/media/profile_photos.json,Yes
note_interactions:href,href,"['profile_note_interactions', 'string_map_data', 'Last Notes Seen Time', 'href']",,"[""profile_note_interactions"", ""string_map_data"", ""Last Notes Seen Time"", ""href""]",static,string,note_interactions.json,personal_information/personal_information/note_interactions.json,No
note_interactions:value,value,"['profile_note_interactions', 'string_map_data', 'Last Notes Seen Time', 'value']",,"[""profile_note_interactions"", ""string_map_data"", ""Last Notes Seen Time"", ""value""]",static,string,note_interactions.json,personal_information/personal_information/note_interactions.json,No
note_interactions:timestamp,timestamp,"['profile_note_interactions', 'string_map_data', 'Last Notes Seen Time', 'timestamp']",,"[""profile_note_interactions"", ""string_map_data"", ""Last Notes Seen Time"", ""timestamp""]",static,number,note_interactions.json,personal_information/personal_information/note_interactions.json,No
instagram_profile_information:First Country Code:href,href,"['profile_account_insights', 'string_map_data', 'First Country Code', 'href']",,"[""profile_account_insights"", ""string_map_data"", ""First Country Code"", ""href""]",static,string,instagram_profile_information.json,personal_information/personal_information/instagram_profile_information.json,No
instagram_profile_information:First Country Code:value,value,"['profile_account_insights', 'string_map_data', 'First Country Code', 'value']",,"[""profile_account_insights"", ""string_map_data"", ""First Country Code"", ""value""]",static,string,instagram_profile_information.json,personal_information/personal_information/instagram_profile_information.json,No
instagram_profile_information:First Country Code:timestamp,timestamp,"['profile_account_insights', 'string_map_data', 'First Country Code', 'timestamp']",,"[""profile_account_insights"", ""string_map_data"", ""First Country Code"", ""timestamp""]",static,number,instagram_profile_information.json,personal_information/personal_information/instagram_profile_information.json,No
camera_information:Device ID:href,href,"['devices_camera', 'string_map_data', 'Device ID', 'href']",,"[""devices_camera"", ""string_map_data"", ""Device ID"", ""href""]",static,string,camera_information.json,personal_information/device_information/camera_information.json,No
camera_information:Device ID:value,value,"['devices_camera', 'string_map_data', 'Device ID', 'value']",,"[""devices_camera"", ""string_map_data"", ""Device ID"", ""value""]",static,string,camera_information.json,personal_information/device_information/camera_information.json,No
camera_information:Device ID:timestamp,timestamp,"['devices_camera', 'string_map_data', 'Device ID', 'timestamp']",,"[""devices_camera"", ""string_map_data"", ""Device ID"", ""timestamp""]",static,number,camera_information.json,personal_information/device_information/camera_information.json,No
camera_information:Supported SDK Versions:href,href,"['devices_camera', 'string_map_data', 'Supported SDK Versions', 'href']",,"[""devices_camera"", ""string_map_data"", ""Supported SDK Versions"", ""href""]",static,string,camera_information.json,personal_information/device_information/camera_information.json,No
camera_information:Supported SDK Versions:value,value,"['devices_camera', 'string_map_data', 'Supported SDK Versions', 'value']",,"[""devices_camera"", ""string_map_data"", ""Supported SDK Versions"", ""value""]",static,string,camera_information.json,personal_information/device_information/camera_information.json,No
camera_information:Supported SDK Versions:timestamp,timestamp,"['devices_camera', 'string_map_data', 'Supported SDK Versions', 'timestamp']",,"[""devices_camera"", ""string_map_data"", ""Supported SDK Versions"", ""timestamp""]",static,number,camera_information.json,personal_information/device_information/camera_information.json,No
devices:Last Login:href,href,"['devices_devices', 'string_map_data', 'Last Login', 'href']",,"[""devices_devices"", ""string_map_data"", ""Last Login"", ""href""]",static,string,devices.json,personal_information/device_information/devices.json,No
devices:Last Login:value,value,"['devices_devices', 'string_map_data', 'Last Login', 'value']",,"[""devices_devices"", ""string_map_data"", ""Last Login"", ""value""]",static,string,devices.json,personal_information/device_information/devices.json,No
devices:Last Login:timestamp,timestamp,"['devices_devices', 'string_map_data', 'Last Login', 'timestamp']",,"[""devices_devices"", ""string_map_data"", ""Last Login"", ""timestamp""]",static,number,devices.json,personal_information/device_information/devices.json,No
