id,variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,data_type,path,list_path,subfield_path,column_name,var_type,name,duplicate_flag
istoricul căutărilor:titleUrl,istoric/istoricul căutărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul căutărilor.json,titleUrl,,NO LIST,,MISSING,,MISSING,string,"('titleUrl',)",,"[""titleUrl""]",titleUrl,static,istoricul căutărilor,No
istoricul căutărilor:time,istoric/istoricul căutărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul căutărilor.json,time,,NO LIST,,MISSING,,MISSING,string,"('time',)",,"[""time""]",time,static,istoricul căutărilor,No
istoricul căutărilor:products,istoric/istoricul căutărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul căutărilor.json,products,,LIST,,MISSING,,MISSING,string,"('products',)","[""products""]","""products""",products,list,istoricul căutărilor,No
istoricul căutărilor:activityControls,istoric/istoricul căutărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul căutărilor.json,activityControls,,LIST,,MISSING,,MISSING,string,"('activityControls',)","[""activityControls""]","""activityControls""",activityControls,list,istoricul căutărilor,No
istoricul-vizionărilor:header,istoric/istoricul-vizionărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul-vizionărilor.json,header,,NO LIST,,MISSING,,MISSING,string,"('header',)",,"[""header""]",header,static,istoricul-vizionărilor,No
istoricul-vizionărilor:title,istoric/istoricul-vizionărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul-vizionărilor.json,title,,NO LIST,,MISSING,,MISSING,string,"('title',)",,"[""title""]",title,static,istoricul-vizionărilor,No
istoricul-vizionărilor:titleUrl,istoric/istoricul-vizionărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul-vizionărilor.json,titleUrl,,NO LIST,,MISSING,,MISSING,string,"('titleUrl',)",,"[""titleUrl""]",titleUrl,static,istoricul-vizionărilor,No
istoricul-vizionărilor:subtitles:name,istoric/istoricul-vizionărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul-vizionărilor.json,subtitles,name,LIST,,NO LIST,,MISSING,string,"('subtitles', 'name')","[""subtitles"", ""name""]","""name""",name,list,istoricul-vizionărilor,No
istoricul-vizionărilor:subtitles:url,istoric/istoricul-vizionărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul-vizionărilor.json,subtitles,url,LIST,,NO LIST,,MISSING,string,"('subtitles', 'url')","[""subtitles"", ""url""]","""url""",url,list,istoricul-vizionărilor,No
istoricul-vizionărilor:time,istoric/istoricul-vizionărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul-vizionărilor.json,time,,NO LIST,,MISSING,,MISSING,string,"('time',)",,"[""time""]",time,static,istoricul-vizionărilor,No
