id,variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,col_path_4,col_path_4_LIST,col_path_5,col_path_5_LIST,col_path_6,col_path_6_LIST,col_path_7,col_path_7_LIST,col_path_8,col_path_8_LIST,data_type,path,list_path,subfield_path,column_name,var_type,name,duplicate_flag
account_activity:account_activity_v2:ip_address,personal_information/profile_information/security_and_login_information/account_activity.json,"{'account_activity_v2': [{'action': 'string', 'timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'city': 'string', 'region': 'string', 'country': 'string', 'site_name': 'string', 'port': 'number'}]}",personal_information,profile_information,security_and_login_information,,account_activity.json,account_activity_v2,ip_address,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('account_activity_v2', 'ip_address')",,"[""account_activity_v2"", ""ip_address""]",ip_address,static,account_activity,Yes
account_activity:account_activity_v2:user_agent,personal_information/profile_information/security_and_login_information/account_activity.json,"{'account_activity_v2': [{'action': 'string', 'timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'city': 'string', 'region': 'string', 'country': 'string', 'site_name': 'string', 'port': 'number'}]}",personal_information,profile_information,security_and_login_information,,account_activity.json,account_activity_v2,user_agent,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('account_activity_v2', 'user_agent')",,"[""account_activity_v2"", ""user_agent""]",user_agent,static,account_activity,Yes
account_activity:account_activity_v2:datr_cookie,personal_information/profile_information/security_and_login_information/account_activity.json,"{'account_activity_v2': [{'action': 'string', 'timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'city': 'string', 'region': 'string', 'country': 'string', 'site_name': 'string', 'port': 'number'}]}",personal_information,profile_information,security_and_login_information,,account_activity.json,account_activity_v2,datr_cookie,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('account_activity_v2', 'datr_cookie')",,"[""account_activity_v2"", ""datr_cookie""]",datr_cookie,static,account_activity,Yes
account_activity:account_activity_v2:city,personal_information/profile_information/security_and_login_information/account_activity.json,"{'account_activity_v2': [{'action': 'string', 'timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'city': 'string', 'region': 'string', 'country': 'string', 'site_name': 'string', 'port': 'number'}]}",personal_information,profile_information,security_and_login_information,,account_activity.json,account_activity_v2,city,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('account_activity_v2', 'city')",,"[""account_activity_v2"", ""city""]",city,static,account_activity,Yes
account_activity:account_activity_v2:region,personal_information/profile_information/security_and_login_information/account_activity.json,"{'account_activity_v2': [{'action': 'string', 'timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'city': 'string', 'region': 'string', 'country': 'string', 'site_name': 'string', 'port': 'number'}]}",personal_information,profile_information,security_and_login_information,,account_activity.json,account_activity_v2,region,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('account_activity_v2', 'region')",,"[""account_activity_v2"", ""region""]",region,static,account_activity,Yes
account_activity:account_activity_v2:country,personal_information/profile_information/security_and_login_information/account_activity.json,"{'account_activity_v2': [{'action': 'string', 'timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'city': 'string', 'region': 'string', 'country': 'string', 'site_name': 'string', 'port': 'number'}]}",personal_information,profile_information,security_and_login_information,,account_activity.json,account_activity_v2,country,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('account_activity_v2', 'country')",,"[""account_activity_v2"", ""country""]",country,static,account_activity,Yes
account_activity:account_activity_v2:site_name,personal_information/profile_information/security_and_login_information/account_activity.json,"{'account_activity_v2': [{'action': 'string', 'timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'city': 'string', 'region': 'string', 'country': 'string', 'site_name': 'string', 'port': 'number'}]}",personal_information,profile_information,security_and_login_information,,account_activity.json,account_activity_v2,site_name,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('account_activity_v2', 'site_name')",,"[""account_activity_v2"", ""site_name""]",site_name,static,account_activity,Yes
account_activity:account_activity_v2:port,personal_information/profile_information/security_and_login_information/account_activity.json,"{'account_activity_v2': [{'action': 'string', 'timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'city': 'string', 'region': 'string', 'country': 'string', 'site_name': 'string', 'port': 'number'}]}",personal_information,profile_information,security_and_login_information,,account_activity.json,account_activity_v2,port,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,number,"('account_activity_v2', 'port')",,"[""account_activity_v2"", ""port""]",port,static,account_activity,Yes
logins_and_logouts:account_accesses_v2:action,personal_information/profile_information/security_and_login_information/logins_and_logouts.json,"{'account_accesses_v2': [{'action': 'string', 'timestamp': 'number', 'site': 'string', 'ip_address': 'string'}]}",personal_information,profile_information,security_and_login_information,,logins_and_logouts.json,account_accesses_v2,action,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('account_accesses_v2', 'action')",,"[""account_accesses_v2"", ""action""]",action,static,logins_and_logouts,Yes
logins_and_logouts:account_accesses_v2:timestamp,personal_information/profile_information/security_and_login_information/logins_and_logouts.json,"{'account_accesses_v2': [{'action': 'string', 'timestamp': 'number', 'site': 'string', 'ip_address': 'string'}]}",personal_information,profile_information,security_and_login_information,,logins_and_logouts.json,account_accesses_v2,timestamp,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,number,"('account_accesses_v2', 'timestamp')",,"[""account_accesses_v2"", ""timestamp""]",timestamp,static,logins_and_logouts,Yes
