direct-messages,,,,,,,,,,,direct-messages,direct-messages,,
,recipientId,,,,,,,,,,,,,
,text,,,,,,,,,,,,,
,reactionSenderID,,,,,,,,,,,,,
,reactionKey,,,,,,,,,,,,,
,reactionEventID,,,,,,,,,,,,,
,reactionCreatedAt,,,,,,,,,,,,,
,mediaUrls,,,,,,,,,,,,,
,urls,,,,,,,,,,,,,
,senderId,,,,,,,,,,,,,
,id,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
email-address-change,,,,,,,,,,,email-address-change,email-address-change,,
,accountId,,,,,,,,,,accountId,accountId,,
,changedAt,,,,,,,,,,changedAt,changedAt,,
,changedFrom,,,,,,,,,,changedFrom,changedFrom,,
,changedTo,,,,,,,,,,changedTo,changedTo,,
expanded-profile,,,,,,,,,,,expanded-profile,expanded-profile,,
follower,,,,,,,,,,,follower,follower,,
,accountId,,,,,,,,,,accountId,accountId,,
,userLink,,,,,,,,,,userLink,userLink,,
following,,,,,,,,,,,following,following,,
,accountId,,,,,,,,,,accountId,accountId,,
,userLink,,,,,,,,,,userLink,userLink,,
grok_chat_media (folder),,,,,,,,,,,grok_chat_media,grok_chat_media,,
grok-chat-item,,,,,,,,,,,grok-chat-item,grok-chat-item,,
,accountId,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,chatId,,,,,,,,,,,,,
,message,,,,,,,,,,,,,
,sender,,,,,,,,,,,,,
,postIds,,,,,,,,,,,,,
,grokMode,,,,,,,,,,,,,
ip-audit,,,,,,,,,,,ip-audit,ip-audit,,
,accountId,,,,,,,,,,accountId,accountId,,
,createdAt,,,,,,,,,,createdAt,createdAt,,
,loginIp,,,,,,,,,,loginIp,loginIp,,
,loginPortNumber,,,,,,,,,,loginPortNumber,loginPortNumber,,
key-registry,,,,,,,,,,,key-registry,key-registry,,
,userId,,,,,,,,,,userId,userId,,
,deviceId,,,,,,,,,,deviceId,deviceId,,
,registrationToken,,,,,,,,,,registrationToken,registrationToken,,
,identityKey,,,,,,,,,,identityKey,identityKey,,
,userAgent,,,,,,,,,,userAgent,userAgent,,
,createdAt,,,,,,,,,,createdAt,createdAt,,
like,,,,,,,,,,,like,like,,
,tweetId,,,,,,,,,,tweetId,tweetId,,
,expandedUrl,,,,,,,,,,expandedUrl,expandedUrl,,
,fullText,,,,,,,,,,fullText,fullText,,
lists-created,,,,,,,,,,,lists-created,lists-created,,
,urls,,,,,,,,,,urls,urls,,
lists-member,,,,,,,,,,,lists-member,lists-member,,
,urls,,,,,,,,,,urls,urls,,
lists-subscribed,,,,,,,,,,,lists-subscribed,lists-subscribed,,
,urls,,,,,,,,,,urls,urls,,
moment,,,,,,,,,,,moment,moment,,
,momentId,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,createdBy,,,,,,,,,,,,,
,title,,,,,,,,,,,,,
,tweets,,,,,,,,,,,,,
,description,,,,,,,,,,,,,
moments_media (folder),,,,,,,,,,,moments_media,moments_media,,
moments_tweets_media (folder),,,,,,,,,,,moments_tweets_media,moments_tweets_media,,
mute,,,,,,,,,,,mute,mute,,
,accountId,,,,,,,,,,,,,
,userLink,,,,,,,,,,,,,
ni-devices,,,,,,,,,,,ni-devices,ni-devices,,
,deviceType,,,,,,,,,,deviceType,deviceType,,
