column_name,path,list_path,subfield_path,var_type,data_type
emailAddress,"['Profile', 'Profile Info', 'ProfileMap', 'emailAddress']",,"['Profile', 'Profile Info', 'ProfileMap', 'emailAddress']",skip,string
likesReceived,"['Profile', 'Profile Info', 'ProfileMap', 'likesReceived']",,"['Profile', 'Profile Info', 'ProfileMap', 'likesReceived']",skip,string
profilePhoto,"['Profile', 'Profile Info', 'ProfileMap', 'profilePhoto']",,"['Profile', 'Profile Info', 'ProfileMap', 'profilePhoto']",skip,string
profileVideo,"['Profile', 'Profile Info', 'ProfileMap', 'profileVideo']",,"['Profile', 'Profile Info', 'ProfileMap', 'profileVideo']",skip,string
telephoneNumber,"['Profile', 'Profile Info', 'ProfileMap', 'telephoneNumber']",,"['Profile', 'Profile Info', 'ProfileMap', 'telephoneNumber']",skip,string
userName,"['Profile', 'Profile Info', 'ProfileMap', 'userName']",,"['Profile', 'Profile Info', 'ProfileMap', 'userName']",skip,string
Allow agencies to find and invite you,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow agencies to find and invite you']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow agencies to find and invite you']",skip,string
Allow others to invite you to co-host in LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow others to invite you to co-host in LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow others to invite you to co-host in LIVE']",skip,string
Allow people to send and receive comments during your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow people to send and receive comments during your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow people to send and receive comments during your LIVE']",skip,string
Allow suggested LIVE hosts to invite you to co-host in LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow suggested LIVE hosts to invite you to co-host in LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow suggested LIVE hosts to invite you to co-host in LIVE']",skip,string
Allow viewers to request to go LIVE with you,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to request to go LIVE with you']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to request to go LIVE with you']",skip,string
Allow viewers to see and send questions and answers in your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to see and send questions and answers in your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to see and send questions and answers in your LIVE']",skip,string
Allow viewers to send you gifts during your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to send you gifts during your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to send you gifts during your LIVE']",skip,string
Hide comments that contain the following keywords from your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide comments that contain the following keywords from your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide comments that contain the following keywords from your LIVE']",skip,array
Hide potential spam or offensive comments from your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide potential spam or offensive comments from your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide potential spam or offensive comments from your LIVE']",skip,string
People you assigned to moderate your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'People you assigned to moderate your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'People you assigned to moderate your LIVE']",skip,array
Show your username and gift information in features with ranking lists,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Show your username and gift information in features with ranking lists']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Show your username and gift information in features with ranking lists']",skip,string
app,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'app']",,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'app']",skip,string
web,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'web']",,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'web']",skip,string
note,"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'note']",,"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'note']",skip,string
videosCommentedOnSinceAccountRegistration,"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosCommentedOnSinceAccountRegistration']",,"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosCommentedOnSinceAccountRegistration']",skip,number
videosSharedSinceAccountRegistration,"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosSharedSinceAccountRegistration']",,"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosSharedSinceAccountRegistration']",skip,number
videosWatchedToTheEndSinceAccountRegistration,"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosWatchedToTheEndSinceAccountRegistration']",,"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosWatchedToTheEndSinceAccountRegistration']",skip,number
