column_name,path,list_path,subfield_path,var_type,data_type
comment,"['Comments', 'CommentsList', 'comment']","[""Comments"", ""CommentsList""]","""comment""",list,string
photo,"['Comments', 'CommentsList', 'photo']","[""Comments"", ""CommentsList""]","""photo""",list,string
url,"['Comments', 'CommentsList', 'url']","[""Comments"", ""CommentsList""]","""url""",list,string
PlaceName,"['POI Review', 'ReviewsList', 'PlaceName']","[""POI Review"", ""ReviewsList""]","""PlaceName""",list,string
Date,"['POI Review', 'ReviewsList', 'Date']","[""POI Review"", ""ReviewsList""]","""Date""",list,string
Rating,"['POI Review', 'ReviewsList', 'Rating']","[""POI Review"", ""ReviewsList""]","""Rating""",list,string
Status,"['POI Review', 'ReviewsList', 'Status']","[""POI Review"", ""ReviewsList""]","""Status""",list,string
Likes,"['POI Review', 'ReviewsList', 'Likes']","[""POI Review"", ""ReviewsList""]","""Likes""",list,string
ReviewText,"['POI Review', 'ReviewsList', 'ReviewText']","[""POI Review"", ""ReviewsList""]","""ReviewText""",list,string
bioDescription,"['Profile Information', 'ProfileMap', 'bioDescription']",,"[""Profile Information"", ""ProfileMap"", ""bioDescription""]",static,string
birthDate,"['Profile Information', 'ProfileMap', 'birthDate']",,"[""Profile Information"", ""ProfileMap"", ""birthDate""]",static,string
emailAddress,"['Profile Information', 'ProfileMap', 'emailAddress']",,"[""Profile Information"", ""ProfileMap"", ""emailAddress""]",static,string
likesReceived,"['Profile Information', 'ProfileMap', 'likesReceived']",,"[""Profile Information"", ""ProfileMap"", ""likesReceived""]",static,string
profilePhoto,"['Profile Information', 'ProfileMap', 'profilePhoto']",,"[""Profile Information"", ""ProfileMap"", ""profilePhoto""]",static,string
profileVideo,"['Profile Information', 'ProfileMap', 'profileVideo']",,"[""Profile Information"", ""ProfileMap"", ""profileVideo""]",static,string
telephoneNumber,"['Profile Information', 'ProfileMap', 'telephoneNumber']",,"[""Profile Information"", ""ProfileMap"", ""telephoneNumber""]",static,string
userName,"['Profile Information', 'ProfileMap', 'userName']",,"[""Profile Information"", ""ProfileMap"", ""userName""]",static,string
Allow agencies to find and invite you,"['Go Live Settings', 'SettingsMap', 'Allow agencies to find and invite you']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow agencies to find and invite you""]",static,string
Allow others to invite you to co-host in LIVE,"['Go Live Settings', 'SettingsMap', 'Allow others to invite you to co-host in LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow others to invite you to co-host in LIVE""]",static,string
Allow people to send and receive comments during your LIVE,"['Go Live Settings', 'SettingsMap', 'Allow people to send and receive comments during your LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow people to send and receive comments during your LIVE""]",static,string
Allow suggested LIVE hosts to invite you to co-host in LIVE,"['Go Live Settings', 'SettingsMap', 'Allow suggested LIVE hosts to invite you to co-host in LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow suggested LIVE hosts to invite you to co-host in LIVE""]",static,string
Allow viewers to request to go LIVE with you,"['Go Live Settings', 'SettingsMap', 'Allow viewers to request to go LIVE with you']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow viewers to request to go LIVE with you""]",static,string
Allow viewers to see and send questions and answers in your LIVE,"['Go Live Settings', 'SettingsMap', 'Allow viewers to see and send questions and answers in your LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow viewers to see and send questions and answers in your LIVE""]",static,string
Allow viewers to send you gifts during your LIVE,"['Go Live Settings', 'SettingsMap', 'Allow viewers to send you gifts during your LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow viewers to send you gifts during your LIVE""]",static,string
Hide comments that contain the following keywords from your LIVE,"['Go Live Settings', 'SettingsMap', 'Hide comments that contain the following keywords from your LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Hide comments that contain the following keywords from your LIVE""]",static,array
Hide potential spam or offensive comments from your LIVE,"['Go Live Settings', 'SettingsMap', 'Hide potential spam or offensive comments from your LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Hide potential spam or offensive comments from your LIVE""]",static,string
People you assigned to moderate your LIVE,"['Go Live Settings', 'SettingsMap', 'People you assigned to moderate your LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""People you assigned to moderate your LIVE""]",static,array
Show your username and gift information in features with ranking lists,"['Go Live Settings', 'SettingsMap', 'Show your username and gift information in features with ranking lists']",,"[""Go Live Settings"", ""SettingsMap"", ""Show your username and gift information in features with ranking lists""]",static,string
app,"['Watch Live Settings', 'WatchLiveSettingsMap', 'app']",,"[""Watch Live Settings"", ""WatchLiveSettingsMap"", ""app""]",static,string
web,"['Watch Live Settings', 'WatchLiveSettingsMap', 'web']",,"[""Watch Live Settings"", ""WatchLiveSettingsMap"", ""web""]",static,string
Date,"['Videos', 'VideoList', 'Date']","[""Videos"", ""VideoList""]","""Date""",list,string
Link,"['Videos', 'VideoList', 'Link']","[""Videos"", ""VideoList""]","""Link""",list,string
Likes,"['Videos', 'VideoList', 'Likes']","[""Videos"", ""VideoList""]","""Likes""",list,string
WhoCanView,"['Videos', 'VideoList', 'WhoCanView']","[""Videos"", ""VideoList""]","""WhoCanView""",list,string
AllowComments,"['Videos', 'VideoList', 'AllowComments']","[""Videos"", ""VideoList""]","""AllowComments""",list,string
AllowStitches,"['Videos', 'VideoList', 'AllowStitches']","[""Videos"", ""VideoList""]","""AllowStitches""",list,string
AllowDuets,"['Videos', 'VideoList', 'AllowDuets']","[""Videos"", ""VideoList""]","""AllowDuets""",list,string
AllowStickers,"['Videos', 'VideoList', 'AllowStickers']","[""Videos"", ""VideoList""]","""AllowStickers""",list,string
AllowSharingToStory,"['Videos', 'VideoList', 'AllowSharingToStory']","[""Videos"", ""VideoList""]","""AllowSharingToStory""",list,string
ContentDisclosure,"['Videos', 'VideoList', 'ContentDisclosure']","[""Videos"", ""VideoList""]","""ContentDisclosure""",list,string
AIGeneratedContent,"['Videos', 'VideoList', 'AIGeneratedContent']","[""Videos"", ""VideoList""]","""AIGeneratedContent""",list,string
Sound,"['Videos', 'VideoList', 'Sound']","[""Videos"", ""VideoList""]","""Sound""",list,string
Location,"['Videos', 'VideoList', 'Location']","[""Videos"", ""VideoList""]","""Location""",list,string
Title,"['Videos', 'VideoList', 'Title']","[""Videos"", ""VideoList""]","""Title""",list,string
AddYoursText,"['Videos', 'VideoList', 'AddYoursText']","[""Videos"", ""VideoList""]","""AddYoursText""",list,string
Desktop notification,"['Settings', 'SettingsMap', 'Push Notification', 'Desktop notification']",,"[""Settings"", ""SettingsMap"", ""Push Notification"", ""Desktop notification""]",static,string
New Comments on My Video,"['Settings', 'SettingsMap', 'Push Notification', 'New Comments on My Video']",,"[""Settings"", ""SettingsMap"", ""Push Notification"", ""New Comments on My Video""]",static,string
New Fans,"['Settings', 'SettingsMap', 'Push Notification', 'New Fans']",,"[""Settings"", ""SettingsMap"", ""Push Notification"", ""New Fans""]",static,string
New Likes on My Video,"['Settings', 'SettingsMap', 'Push Notification', 'New Likes on My Video']",,"[""Settings"", ""SettingsMap"", ""Push Notification"", ""New Likes on My Video""]",static,string
Description,"['Profile Information', 'ProfileMap', 'PlatformInfo', 'Description']","[""Profile Information"", ""ProfileMap"", ""PlatformInfo""]","""Description""",list,string
Name,"['Profile Information', 'ProfileMap', 'PlatformInfo', 'Name']","[""Profile Information"", ""ProfileMap"", ""PlatformInfo""]","""Name""",list,string
Platform,"['Profile Information', 'ProfileMap', 'PlatformInfo', 'Platform']","[""Profile Information"", ""ProfileMap"", ""PlatformInfo""]","""Platform""",list,string
Profile Photo,"['Profile Information', 'ProfileMap', 'PlatformInfo', 'Profile Photo']","[""Profile Information"", ""ProfileMap"", ""PlatformInfo""]","""Profile Photo""",list,string
