column_name,path,list_path,subfield_path,var_type,data_type
SendGifts,"['Your Activity', 'Purchases', 'SendGifts', 'SendGifts']",,"['Your Activity', 'Purchases', 'SendGifts', 'SendGifts']",static,object
BuyGifts,"['Your Activity', 'Purchases', 'BuyGifts', 'BuyGifts']",,"['Your Activity', 'Purchases', 'BuyGifts', 'BuyGifts']",static,object
Keyword filters for videos in Following feed,"['App Settings', 'Settings', 'SettingsMap', 'Content Preferences', 'Keyword filters for videos in Following feed']",,"['App Settings', 'Settings', 'SettingsMap', 'Content Preferences', 'Keyword filters for videos in Following feed']",static,object
Keyword filters for videos in For You feed,"['App Settings', 'Settings', 'SettingsMap', 'Content Preferences', 'Keyword filters for videos in For You feed']",,"['App Settings', 'Settings', 'SettingsMap', 'Content Preferences', 'Keyword filters for videos in For You feed']",static,object
Video Languages Preferences,"['App Settings', 'Settings', 'SettingsMap', 'Content Preferences', 'Video Languages Preferences']",,"['App Settings', 'Settings', 'SettingsMap', 'Content Preferences', 'Video Languages Preferences']",static,object
Desktop notification,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'Desktop notification']",,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'Desktop notification']",static,string
New Comments on My Video,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Comments on My Video']",,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Comments on My Video']",static,string
New Fans,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Fans']",,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Fans']",static,string
New Likes on My Video,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Likes on My Video']",,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Likes on My Video']",static,string
Date,"['Your Activity', 'Favorite Videos', 'FavoriteVideoList', 'Date']","['Your Activity', 'Favorite Videos']","['FavoriteVideoList', 'Date']",list,string
Link,"['Your Activity', 'Favorite Videos', 'FavoriteVideoList', 'Link']","['Your Activity', 'Favorite Videos']","['FavoriteVideoList', 'Link']",list,string
Date,"['Your Activity', 'Following', 'Following', 'Date']","['Your Activity', 'Following']","['Following', 'Date']",list,string
UserName,"['Your Activity', 'Following', 'Following', 'UserName']","['Your Activity', 'Following']","['Following', 'UserName']",list,string
Date,"['Your Activity', 'Login History', 'LoginHistoryList', 'Date']","['Your Activity', 'Login History']","['LoginHistoryList', 'Date']",list,string
IP,"['Your Activity', 'Login History', 'LoginHistoryList', 'IP']","['Your Activity', 'Login History']","['LoginHistoryList', 'IP']",list,string
DeviceModel,"['Your Activity', 'Login History', 'LoginHistoryList', 'DeviceModel']","['Your Activity', 'Login History']","['LoginHistoryList', 'DeviceModel']",list,string
DeviceSystem,"['Your Activity', 'Login History', 'LoginHistoryList', 'DeviceSystem']","['Your Activity', 'Login History']","['LoginHistoryList', 'DeviceSystem']",list,string
NetworkType,"['Your Activity', 'Login History', 'LoginHistoryList', 'NetworkType']","['Your Activity', 'Login History']","['LoginHistoryList', 'NetworkType']",list,string
Carrier,"['Your Activity', 'Login History', 'LoginHistoryList', 'Carrier']","['Your Activity', 'Login History']","['LoginHistoryList', 'Carrier']",list,string
Date,"['Your Activity', 'Searches', 'SearchList', 'Date']","['Your Activity', 'Searches']","['SearchList', 'Date']",list,string
SearchTerm,"['Your Activity', 'Searches', 'SearchList', 'SearchTerm']","['Your Activity', 'Searches']","['SearchList', 'SearchTerm']",list,string
Resolution,"['Your Activity', 'Status', 'Status List', 'Resolution']","['Your Activity', 'Status']","['Status List', 'Resolution']",list,string
App Version,"['Your Activity', 'Status', 'Status List', 'App Version']","['Your Activity', 'Status']","['Status List', 'App Version']",list,string
IDFA,"['Your Activity', 'Status', 'Status List', 'IDFA']","['Your Activity', 'Status']","['Status List', 'IDFA']",list,string
GAID,"['Your Activity', 'Status', 'Status List', 'GAID']","['Your Activity', 'Status']","['Status List', 'GAID']",list,string
Android ID,"['Your Activity', 'Status', 'Status List', 'Android ID']","['Your Activity', 'Status']","['Status List', 'Android ID']",list,string
IDFV,"['Your Activity', 'Status', 'Status List', 'IDFV']","['Your Activity', 'Status']","['Status List', 'IDFV']",list,string
Web ID,"['Your Activity', 'Status', 'Status List', 'Web ID']","['Your Activity', 'Status']","['Status List', 'Web ID']",list,string
Date,"['Your Activity', 'Watch History', 'VideoList', 'Date']","['Your Activity', 'Watch History']","['VideoList', 'Date']",list,string
Link,"['Your Activity', 'Watch History', 'VideoList', 'Link']","['Your Activity', 'Watch History']","['VideoList', 'Link']",list,string
