column_name,path,list_path,subfield_path,var_type,data_type
Who Can Send Me Message,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Send Me Message']",,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Send Me Message']",skip,string
Who Can Stitch with your videos,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Stitch with your videos']",,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Stitch with your videos']",skip,string
Who Can View Videos I Liked,"['App Settings', 'Settings', 'SettingsMap', 'Who Can View Videos I Liked']",,"['App Settings', 'Settings', 'SettingsMap', 'Who Can View Videos I Liked']",skip,string
date,"['Comment', 'Comments', 'CommentsList', 'date']",,"['Comment', 'Comments', 'CommentsList', 'date']",static,string
comment,"['Comment', 'Comments', 'CommentsList', 'comment']",,"['Comment', 'Comments', 'CommentsList', 'comment']",static,string
photo,"['Comment', 'Comments', 'CommentsList', 'photo']",,"['Comment', 'Comments', 'CommentsList', 'photo']",static,string
url,"['Comment', 'Comments', 'CommentsList', 'url']",,"['Comment', 'Comments', 'CommentsList', 'url']",static,string
PlaceName,"['Poi Review', 'POI Review', 'ReviewsList', 'PlaceName']",,"['Poi Review', 'POI Review', 'ReviewsList', 'PlaceName']",static,string
Date,"['Poi Review', 'POI Review', 'ReviewsList', 'Date']",,"['Poi Review', 'POI Review', 'ReviewsList', 'Date']",static,string
Rating,"['Poi Review', 'POI Review', 'ReviewsList', 'Rating']",,"['Poi Review', 'POI Review', 'ReviewsList', 'Rating']",static,string
Status,"['Poi Review', 'POI Review', 'ReviewsList', 'Status']",,"['Poi Review', 'POI Review', 'ReviewsList', 'Status']",static,string
Likes,"['Poi Review', 'POI Review', 'ReviewsList', 'Likes']",,"['Poi Review', 'POI Review', 'ReviewsList', 'Likes']",static,string
ReviewText,"['Poi Review', 'POI Review', 'ReviewsList', 'ReviewText']",,"['Poi Review', 'POI Review', 'ReviewsList', 'ReviewText']",static,string
bioDescription,"['Profile', 'Profile Information', 'ProfileMap', 'bioDescription']",,"['Profile', 'Profile Information', 'ProfileMap', 'bioDescription']",skip,string
birthDate,"['Profile', 'Profile Information', 'ProfileMap', 'birthDate']",,"['Profile', 'Profile Information', 'ProfileMap', 'birthDate']",skip,string
emailAddress,"['Profile', 'Profile Information', 'ProfileMap', 'emailAddress']",,"['Profile', 'Profile Information', 'ProfileMap', 'emailAddress']",skip,string
likesReceived,"['Profile', 'Profile Information', 'ProfileMap', 'likesReceived']",,"['Profile', 'Profile Information', 'ProfileMap', 'likesReceived']",skip,string
profilePhoto,"['Profile', 'Profile Information', 'ProfileMap', 'profilePhoto']",,"['Profile', 'Profile Information', 'ProfileMap', 'profilePhoto']",skip,string
profileVideo,"['Profile', 'Profile Information', 'ProfileMap', 'profileVideo']",,"['Profile', 'Profile Information', 'ProfileMap', 'profileVideo']",skip,string
telephoneNumber,"['Profile', 'Profile Information', 'ProfileMap', 'telephoneNumber']",,"['Profile', 'Profile Information', 'ProfileMap', 'telephoneNumber']",skip,string
userName,"['Profile', 'Profile Information', 'ProfileMap', 'userName']",,"['Profile', 'Profile Information', 'ProfileMap', 'userName']",skip,string
Allow agencies to find and invite you,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow agencies to find and invite you']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow agencies to find and invite you']",skip,string
Allow others to invite you to co-host in LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow others to invite you to co-host in LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow others to invite you to co-host in LIVE']",skip,string
Allow people to send and receive comments during your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow people to send and receive comments during your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow people to send and receive comments during your LIVE']",skip,string
Allow suggested LIVE hosts to invite you to co-host in LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow suggested LIVE hosts to invite you to co-host in LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow suggested LIVE hosts to invite you to co-host in LIVE']",skip,string
Allow viewers to request to go LIVE with you,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to request to go LIVE with you']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to request to go LIVE with you']",skip,string
Allow viewers to see and send questions and answers in your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to see and send questions and answers in your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to see and send questions and answers in your LIVE']",skip,string
Allow viewers to send you gifts during your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to send you gifts during your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to send you gifts during your LIVE']",skip,string
Hide comments that contain the following keywords from your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide comments that contain the following keywords from your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide comments that contain the following keywords from your LIVE']",skip,array
