column_name,path,list_path,subfield_path,var_type,data_type
New Comments on My Video,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Comments on My Video']",,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Comments on My Video']",static,string
New Fans,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Fans']",,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Fans']",static,string
New Likes on My Video,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Likes on My Video']",,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Likes on My Video']",static,string
Date,"['Activity', 'Favorite Videos', 'FavoriteVideoList', 'Date']","['Activity', 'Favorite Videos', 'FavoriteVideoList']",['Date'],list,string
Link,"['Activity', 'Favorite Videos', 'FavoriteVideoList', 'Link']","['Activity', 'Favorite Videos', 'FavoriteVideoList']",['Link'],list,string
Date,"['Activity', 'Follower List', 'FansList', 'Date']","['Activity', 'Follower List', 'FansList']",['Date'],list,string
UserName,"['Activity', 'Follower List', 'FansList', 'UserName']","['Activity', 'Follower List', 'FansList']",['UserName'],list,string
Date,"['Activity', 'Following List', 'Following', 'Date']","['Activity', 'Following List', 'Following']",['Date'],list,string
UserName,"['Activity', 'Following List', 'Following', 'UserName']","['Activity', 'Following List', 'Following']",['UserName'],list,string
HashtagName,"['Activity', 'Hashtag', 'HashtagList', 'HashtagName']","['Activity', 'Hashtag', 'HashtagList']",['HashtagName'],list,string
HashtagLink,"['Activity', 'Hashtag', 'HashtagList', 'HashtagLink']","['Activity', 'Hashtag', 'HashtagList']",['HashtagLink'],list,string
date,"['Activity', 'Like List', 'ItemFavoriteList', 'date']","['Activity', 'Like List', 'ItemFavoriteList']",['date'],list,string
link,"['Activity', 'Like List', 'ItemFavoriteList', 'link']","['Activity', 'Like List', 'ItemFavoriteList']",['link'],list,string
Date,"['Activity', 'Login History', 'LoginHistoryList', 'Date']","['Activity', 'Login History', 'LoginHistoryList']",['Date'],list,string
IP,"['Activity', 'Login History', 'LoginHistoryList', 'IP']","['Activity', 'Login History', 'LoginHistoryList']",['IP'],list,string
DeviceModel,"['Activity', 'Login History', 'LoginHistoryList', 'DeviceModel']","['Activity', 'Login History', 'LoginHistoryList']",['DeviceModel'],list,string
DeviceSystem,"['Activity', 'Login History', 'LoginHistoryList', 'DeviceSystem']","['Activity', 'Login History', 'LoginHistoryList']",['DeviceSystem'],list,string
NetworkType,"['Activity', 'Login History', 'LoginHistoryList', 'NetworkType']","['Activity', 'Login History', 'LoginHistoryList']",['NetworkType'],list,string
Carrier,"['Activity', 'Login History', 'LoginHistoryList', 'Carrier']","['Activity', 'Login History', 'LoginHistoryList']",['Carrier'],list,string
Date,"['Activity', 'Search History', 'SearchList', 'Date']","['Activity', 'Search History', 'SearchList']",['Date'],list,string
SearchTerm,"['Activity', 'Search History', 'SearchList', 'SearchTerm']","['Activity', 'Search History', 'SearchList']",['SearchTerm'],list,string
