column_name,path,list_path,subfield_path,var_type,data_type
logistics_provider,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'logistics_provider']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'logistics_provider']",static,string
logistics_tracking_number,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'logistics_tracking_number']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'logistics_tracking_number']",static,string
order_date,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'order_date']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'order_date']",static,string
order_number,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'order_number']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'order_number']",static,string
total_price,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'total_price']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'total_price']",static,string
customer_note,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'customer_note']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'customer_note']",static,string
order_status,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'order_status']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'order_status']",static,string
logistics_provider,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'logistics_provider']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'logistics_provider']",static,string
logistics_tracking_number,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'logistics_tracking_number']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'logistics_tracking_number']",static,string
WatchTime,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",static,string
Link,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",static,string
WatchTime,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",static,string
Link,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",static,string
WatchTime,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",static,string
Link,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",static,string
WatchTime,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",static,string
Link,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",static,string
WatchTime,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",static,string
Link,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",static,string
WatchTime,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",static,string
Link,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",static,string
WatchTime,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",static,string
Link,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",static,string
WatchTime,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",static,string
Link,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",static,string
WatchTime,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",static,string
Link,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'Link']",static,string
WatchTime,"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",[],"['Tiktok Live', 'Watch Live History', 'WatchLiveMap', '$NUMBER', 'WatchTime']",static,string
