variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,col_path_4,col_path_4_LIST,col_path_5,col_path_5_LIST,col_path_6,col_path_6_LIST,col_path_7,col_path_7_LIST,col_path_8,col_path_8_LIST,data_type
data/periscope-followers.js,No data,data,periscope-followers.js,Missing,Missing,periscope-followers.js,No data,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
data/user-link-clicks.js,No data,data,user-link-clicks.js,Missing,Missing,user-link-clicks.js,No data,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
data/professional-data.js,No data,data,professional-data.js,Missing,Missing,professional-data.js,No data,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
data/profile.js,"{'profile': {'description': {'bio': 'string', 'website': 'string', 'location': 'string'}, 'avatarMediaUrl': 'string'}}",data,profile.js,Missing,Missing,profile.js,profile,description,NO LIST,bio,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/profile.js,"{'profile': {'description': {'bio': 'string', 'website': 'string', 'location': 'string'}, 'avatarMediaUrl': 'string'}}",data,profile.js,Missing,Missing,profile.js,profile,description,NO LIST,website,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/profile.js,"{'profile': {'description': {'bio': 'string', 'website': 'string', 'location': 'string'}, 'avatarMediaUrl': 'string'}}",data,profile.js,Missing,Missing,profile.js,profile,description,NO LIST,location,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/profile.js,"{'profile': {'description': {'bio': 'string', 'website': 'string', 'location': 'string'}, 'avatarMediaUrl': 'string'}}",data,profile.js,Missing,Missing,profile.js,profile,avatarMediaUrl,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/product-drop.js,No data,data,product-drop.js,Missing,Missing,product-drop.js,No data,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
data/product-set.js,No data,data,product-set.js,Missing,Missing,product-set.js,No data,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
data/tweet-headers.js,"{'tweet': {'tweet_id': 'string', 'user_id': 'string', 'created_at': 'string'}}",data,tweet-headers.js,Missing,Missing,tweet-headers.js,tweet,tweet_id,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/tweet-headers.js,"{'tweet': {'tweet_id': 'string', 'user_id': 'string', 'created_at': 'string'}}",data,tweet-headers.js,Missing,Missing,tweet-headers.js,tweet,user_id,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/tweet-headers.js,"{'tweet': {'tweet_id': 'string', 'user_id': 'string', 'created_at': 'string'}}",data,tweet-headers.js,Missing,Missing,tweet-headers.js,tweet,created_at,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,demographics,NO LIST,languages,NO LIST,language,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,demographics,NO LIST,languages,NO LIST,isDisabled,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,demographics,NO LIST,genderInfo,NO LIST,gender,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,interests,NO LIST,interests,NO LIST,name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,interests,NO LIST,interests,NO LIST,isDisabled,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,interests,NO LIST,partnerInterests,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,interests,NO LIST,audienceAndAdvertisers,NO LIST,lookalikeAdvertisers,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,interests,NO LIST,audienceAndAdvertisers,NO LIST,advertisers,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,interests,NO LIST,audienceAndAdvertisers,NO LIST,doNotReachAdvertisers,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,interests,NO LIST,audienceAndAdvertisers,NO LIST,catalogAudienceAdvertisers,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,interests,NO LIST,audienceAndAdvertisers,NO LIST,numAudiences,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,interests,NO LIST,shows,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,locationHistory,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,inferredAgeInfo,NO LIST,age,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
data/personalization.js,"{'p13nData': {'demographics': {'languages': [{'language': 'string', 'isDisabled': 'boolean'}], 'genderInfo': {'gender': 'string'}}, 'interests': {'interests': [{'name': 'string', 'isDisabled': 'boolean'}], 'partnerInterests': ['array'], 'audienceAndAdvertisers': {'lookalikeAdvertisers': ['array'], 'advertisers': ['array'], 'doNotReachAdvertisers': ['array'], 'catalogAudienceAdvertisers': ['array'], 'numAudiences': 'string'}, 'shows': ['array']}, 'locationHistory': ['array'], 'inferredAgeInfo': {'age': ['array'], 'birthDate': 'string'}}}",data,personalization.js,Missing,Missing,personalization.js,p13nData,inferredAgeInfo,NO LIST,birthDate,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/tweets.js,"{'tweet': {'edit_info': {'initial': {'editTweetIds': ['string'], 'editableUntil': 'string', 'editsRemaining': 'string', 'isEditEligible': 'boolean'}}, 'retweeted': 'boolean', 'source': 'string', 'entities': {'hashtags': ['array'], 'symbols': ['array'], 'user_mentions': [{'name': 'string', 'screen_name': 'string', 'indices': ['string'], 'id_str': 'string', 'id': 'string'}], 'urls': ['array']}, 'display_text_range': ['string'], 'favorite_count': 'string', 'id_str': 'string', 'truncated': 'boolean', 'retweet_count': 'string', 'id': 'string', 'created_at': 'string', 'favorited': 'boolean', 'full_text': 'string', 'lang': 'string'}}",data,tweets.js,Missing,Missing,tweets.js,tweet,edit_info,NO LIST,initial,NO LIST,editTweetIds,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/tweets.js,"{'tweet': {'edit_info': {'initial': {'editTweetIds': ['string'], 'editableUntil': 'string', 'editsRemaining': 'string', 'isEditEligible': 'boolean'}}, 'retweeted': 'boolean', 'source': 'string', 'entities': {'hashtags': ['array'], 'symbols': ['array'], 'user_mentions': [{'name': 'string', 'screen_name': 'string', 'indices': ['string'], 'id_str': 'string', 'id': 'string'}], 'urls': ['array']}, 'display_text_range': ['string'], 'favorite_count': 'string', 'id_str': 'string', 'truncated': 'boolean', 'retweet_count': 'string', 'id': 'string', 'created_at': 'string', 'favorited': 'boolean', 'full_text': 'string', 'lang': 'string'}}",data,tweets.js,Missing,Missing,tweets.js,tweet,edit_info,NO LIST,initial,NO LIST,editableUntil,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/tweets.js,"{'tweet': {'edit_info': {'initial': {'editTweetIds': ['string'], 'editableUntil': 'string', 'editsRemaining': 'string', 'isEditEligible': 'boolean'}}, 'retweeted': 'boolean', 'source': 'string', 'entities': {'hashtags': ['array'], 'symbols': ['array'], 'user_mentions': [{'name': 'string', 'screen_name': 'string', 'indices': ['string'], 'id_str': 'string', 'id': 'string'}], 'urls': ['array']}, 'display_text_range': ['string'], 'favorite_count': 'string', 'id_str': 'string', 'truncated': 'boolean', 'retweet_count': 'string', 'id': 'string', 'created_at': 'string', 'favorited': 'boolean', 'full_text': 'string', 'lang': 'string'}}",data,tweets.js,Missing,Missing,tweets.js,tweet,edit_info,NO LIST,initial,NO LIST,editsRemaining,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/tweets.js,"{'tweet': {'edit_info': {'initial': {'editTweetIds': ['string'], 'editableUntil': 'string', 'editsRemaining': 'string', 'isEditEligible': 'boolean'}}, 'retweeted': 'boolean', 'source': 'string', 'entities': {'hashtags': ['array'], 'symbols': ['array'], 'user_mentions': [{'name': 'string', 'screen_name': 'string', 'indices': ['string'], 'id_str': 'string', 'id': 'string'}], 'urls': ['array']}, 'display_text_range': ['string'], 'favorite_count': 'string', 'id_str': 'string', 'truncated': 'boolean', 'retweet_count': 'string', 'id': 'string', 'created_at': 'string', 'favorited': 'boolean', 'full_text': 'string', 'lang': 'string'}}",data,tweets.js,Missing,Missing,tweets.js,tweet,edit_info,NO LIST,initial,NO LIST,isEditEligible,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
data/tweets.js,"{'tweet': {'edit_info': {'initial': {'editTweetIds': ['string'], 'editableUntil': 'string', 'editsRemaining': 'string', 'isEditEligible': 'boolean'}}, 'retweeted': 'boolean', 'source': 'string', 'entities': {'hashtags': ['array'], 'symbols': ['array'], 'user_mentions': [{'name': 'string', 'screen_name': 'string', 'indices': ['string'], 'id_str': 'string', 'id': 'string'}], 'urls': ['array']}, 'display_text_range': ['string'], 'favorite_count': 'string', 'id_str': 'string', 'truncated': 'boolean', 'retweet_count': 'string', 'id': 'string', 'created_at': 'string', 'favorited': 'boolean', 'full_text': 'string', 'lang': 'string'}}",data,tweets.js,Missing,Missing,tweets.js,tweet,retweeted,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
data/tweets.js,"{'tweet': {'edit_info': {'initial': {'editTweetIds': ['string'], 'editableUntil': 'string', 'editsRemaining': 'string', 'isEditEligible': 'boolean'}}, 'retweeted': 'boolean', 'source': 'string', 'entities': {'hashtags': ['array'], 'symbols': ['array'], 'user_mentions': [{'name': 'string', 'screen_name': 'string', 'indices': ['string'], 'id_str': 'string', 'id': 'string'}], 'urls': ['array']}, 'display_text_range': ['string'], 'favorite_count': 'string', 'id_str': 'string', 'truncated': 'boolean', 'retweet_count': 'string', 'id': 'string', 'created_at': 'string', 'favorited': 'boolean', 'full_text': 'string', 'lang': 'string'}}",data,tweets.js,Missing,Missing,tweets.js,tweet,source,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/tweets.js,"{'tweet': {'edit_info': {'initial': {'editTweetIds': ['string'], 'editableUntil': 'string', 'editsRemaining': 'string', 'isEditEligible': 'boolean'}}, 'retweeted': 'boolean', 'source': 'string', 'entities': {'hashtags': ['array'], 'symbols': ['array'], 'user_mentions': [{'name': 'string', 'screen_name': 'string', 'indices': ['string'], 'id_str': 'string', 'id': 'string'}], 'urls': ['array']}, 'display_text_range': ['string'], 'favorite_count': 'string', 'id_str': 'string', 'truncated': 'boolean', 'retweet_count': 'string', 'id': 'string', 'created_at': 'string', 'favorited': 'boolean', 'full_text': 'string', 'lang': 'string'}}",data,tweets.js,Missing,Missing,tweets.js,tweet,entities,NO LIST,hashtags,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
data/tweets.js,"{'tweet': {'edit_info': {'initial': {'editTweetIds': ['string'], 'editableUntil': 'string', 'editsRemaining': 'string', 'isEditEligible': 'boolean'}}, 'retweeted': 'boolean', 'source': 'string', 'entities': {'hashtags': ['array'], 'symbols': ['array'], 'user_mentions': [{'name': 'string', 'screen_name': 'string', 'indices': ['string'], 'id_str': 'string', 'id': 'string'}], 'urls': ['array']}, 'display_text_range': ['string'], 'favorite_count': 'string', 'id_str': 'string', 'truncated': 'boolean', 'retweet_count': 'string', 'id': 'string', 'created_at': 'string', 'favorited': 'boolean', 'full_text': 'string', 'lang': 'string'}}",data,tweets.js,Missing,Missing,tweets.js,tweet,entities,NO LIST,symbols,NO LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
data/tweets.js,"{'tweet': {'edit_info': {'initial': {'editTweetIds': ['string'], 'editableUntil': 'string', 'editsRemaining': 'string', 'isEditEligible': 'boolean'}}, 'retweeted': 'boolean', 'source': 'string', 'entities': {'hashtags': ['array'], 'symbols': ['array'], 'user_mentions': [{'name': 'string', 'screen_name': 'string', 'indices': ['string'], 'id_str': 'string', 'id': 'string'}], 'urls': ['array']}, 'display_text_range': ['string'], 'favorite_count': 'string', 'id_str': 'string', 'truncated': 'boolean', 'retweet_count': 'string', 'id': 'string', 'created_at': 'string', 'favorited': 'boolean', 'full_text': 'string', 'lang': 'string'}}",data,tweets.js,Missing,Missing,tweets.js,tweet,entities,NO LIST,user_mentions,NO LIST,name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/tweets.js,"{'tweet': {'edit_info': {'initial': {'editTweetIds': ['string'], 'editableUntil': 'string', 'editsRemaining': 'string', 'isEditEligible': 'boolean'}}, 'retweeted': 'boolean', 'source': 'string', 'entities': {'hashtags': ['array'], 'symbols': ['array'], 'user_mentions': [{'name': 'string', 'screen_name': 'string', 'indices': ['string'], 'id_str': 'string', 'id': 'string'}], 'urls': ['array']}, 'display_text_range': ['string'], 'favorite_count': 'string', 'id_str': 'string', 'truncated': 'boolean', 'retweet_count': 'string', 'id': 'string', 'created_at': 'string', 'favorited': 'boolean', 'full_text': 'string', 'lang': 'string'}}",data,tweets.js,Missing,Missing,tweets.js,tweet,entities,NO LIST,user_mentions,NO LIST,screen_name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/tweets.js,"{'tweet': {'edit_info': {'initial': {'editTweetIds': ['string'], 'editableUntil': 'string', 'editsRemaining': 'string', 'isEditEligible': 'boolean'}}, 'retweeted': 'boolean', 'source': 'string', 'entities': {'hashtags': ['array'], 'symbols': ['array'], 'user_mentions': [{'name': 'string', 'screen_name': 'string', 'indices': ['string'], 'id_str': 'string', 'id': 'string'}], 'urls': ['array']}, 'display_text_range': ['string'], 'favorite_count': 'string', 'id_str': 'string', 'truncated': 'boolean', 'retweet_count': 'string', 'id': 'string', 'created_at': 'string', 'favorited': 'boolean', 'full_text': 'string', 'lang': 'string'}}",data,tweets.js,Missing,Missing,tweets.js,tweet,entities,NO LIST,user_mentions,NO LIST,indices,LIST,Missing,LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
