json_name,column_name,path,list_path,subfield_path,var_type,data_type
personalization.js,partnerInterests,"['p13nData', 'interests', 'partnerInterests']",nan,"[""p13nData"", ""interests"", ""partnerInterests""]",static,array
personalization.js,shows,"['p13nData', 'interests', 'shows']",nan,"[""p13nData"", ""interests"", ""shows""]",static,array
personalization.js,age,"['p13nData', 'inferredAgeInfo', 'age']",nan,"[""p13nData"", ""inferredAgeInfo"", ""age""]",static,array
personalization.js,birthDate,"['p13nData', 'inferredAgeInfo', 'birthDate']",nan,"[""p13nData"", ""inferredAgeInfo"", ""birthDate""]",static,string
tweets.js,hashtags,"['tweet', 'entities', 'hashtags']",nan,"[""tweet"", ""entities"", ""hashtags""]",static,array
tweets.js,symbols,"['tweet', 'entities', 'symbols']",nan,"[""tweet"", ""entities"", ""symbols""]",static,array
tweets.js,urls,"['tweet', 'entities', 'urls']",nan,"[""tweet"", ""entities"", ""urls""]",static,array
ageinfo.js,age,"['ageMeta', 'ageInfo', 'age']",nan,"[""ageMeta"", ""ageInfo"", ""age""]",static,string
ageinfo.js,birthDate,"['ageMeta', 'ageInfo', 'birthDate']",nan,"[""ageMeta"", ""ageInfo"", ""birthDate""]",static,string
screen-name-change.js,changedAt,"['screenNameChange', 'screenNameChange', 'changedAt']",nan,"[""screenNameChange"", ""screenNameChange"", ""changedAt""]",static,string
screen-name-change.js,changedFrom,"['screenNameChange', 'screenNameChange', 'changedFrom']",nan,"[""screenNameChange"", ""screenNameChange"", ""changedFrom""]",static,string
screen-name-change.js,changedTo,"['screenNameChange', 'screenNameChange', 'changedTo']",nan,"[""screenNameChange"", ""screenNameChange"", ""changedTo""]",static,string
email-address-change.js,changedAt,"['emailAddressChange', 'emailChange', 'changedAt']",nan,"[""emailAddressChange"", ""emailChange"", ""changedAt""]",static,string
email-address-change.js,changedTo,"['emailAddressChange', 'emailChange', 'changedTo']",nan,"[""emailAddressChange"", ""emailChange"", ""changedTo""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'communityTweet', 'mediaDirectory']",nan,"[""dataTypes"", ""communityTweet"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'communityTweetMedia', 'mediaDirectory']",nan,"[""dataTypes"", ""communityTweetMedia"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'deletedTweets', 'mediaDirectory']",nan,"[""dataTypes"", ""deletedTweets"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'deletedTweetsMedia', 'mediaDirectory']",nan,"[""dataTypes"", ""deletedTweetsMedia"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'directMessages', 'mediaDirectory']",nan,"[""dataTypes"", ""directMessages"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'directMessagesGroup', 'mediaDirectory']",nan,"[""dataTypes"", ""directMessagesGroup"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'directMessagesGroupMedia', 'mediaDirectory']",nan,"[""dataTypes"", ""directMessagesGroupMedia"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'directMessagesMedia', 'mediaDirectory']",nan,"[""dataTypes"", ""directMessagesMedia"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'moment', 'mediaDirectory']",nan,"[""dataTypes"", ""moment"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'momentsMedia', 'mediaDirectory']",nan,"[""dataTypes"", ""momentsMedia"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'momentsTweetsMedia', 'mediaDirectory']",nan,"[""dataTypes"", ""momentsTweetsMedia"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'profile', 'mediaDirectory']",nan,"[""dataTypes"", ""profile"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'profileMedia', 'mediaDirectory']",nan,"[""dataTypes"", ""profileMedia"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'tweets', 'mediaDirectory']",nan,"[""dataTypes"", ""tweets"", ""mediaDirectory""]",static,string
manifest.js,mediaDirectory,"['dataTypes', 'tweetsMedia', 'mediaDirectory']",nan,"[""dataTypes"", ""tweetsMedia"", ""mediaDirectory""]",static,string
key-registry.js,deRegisteredDeviceMetadataList,"['keyRegistryData', 'deregisteredDevices', 'deRegisteredDeviceMetadataList']",nan,"[""keyRegistryData"", ""deregisteredDevices"", ""deRegisteredDeviceMetadataList""]",static,array
personalization.js,language,"['p13nData', 'demographics', 'languages', 'language']","[""p13nData"", ""demographics"", ""languages""]","""language""",list,string
personalization.js,isDisabled,"['p13nData', 'demographics', 'languages', 'isDisabled']","[""p13nData"", ""demographics"", ""languages""]","""isDisabled""",list,boolean
