id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag,keepID,date_added,file_path
Tiktok Live:Watch Live History:WatchLiveMap:7520289046615182102:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520289046615182102"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520289046615182102"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7520289046615182102:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7520319927560030998:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520319927560030998"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520319927560030998"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7520319927560030998:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7520319927560030998:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520319927560030998"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520319927560030998"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7520319927560030998:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7520628738036566786:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520628738036566786"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520628738036566786"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7520628738036566786:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7520628738036566786:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520628738036566786"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520628738036566786"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7520628738036566786:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7520945350673550102:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520945350673550102"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520945350673550102"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7520945350673550102:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7520945350673550102:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520945350673550102"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520945350673550102"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7520945350673550102:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7521320833324469014:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7521320833324469014"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7521320833324469014"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7521320833324469014:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7521320833324469014:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7521320833324469014"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7521320833324469014"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7521320833324469014:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7522147846905842454:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7522147846905842454"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7522147846905842454"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7522147846905842454:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7522147846905842454:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7522147846905842454"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7522147846905842454"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7522147846905842454:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7522205970572479254:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7522205970572479254"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7522205970572479254"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7522205970572479254:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7522205970572479254:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7522205970572479254"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7522205970572479254"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7522205970572479254:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7522565704708918038:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7522565704708918038"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7522565704708918038"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7522565704708918038:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7522565704708918038:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7522565704708918038"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7522565704708918038"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7522565704708918038:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7551010464139463445:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7551010464139463445"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7551010464139463445"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7551010464139463445:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7551010464139463445:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7551010464139463445"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7551010464139463445"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7551010464139463445:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7551103754139142934:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7551103754139142934"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7551103754139142934"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7551103754139142934:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7551103754139142934:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7551103754139142934"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7551103754139142934"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7551103754139142934:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7552111815805684502:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7552111815805684502"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7552111815805684502"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7552111815805684502:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7552111815805684502:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7552111815805684502"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7552111815805684502"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7552111815805684502:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7554388496419490582:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7554388496419490582"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7554388496419490582"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7554388496419490582:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7554388496419490582:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7554388496419490582"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7554388496419490582"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7554388496419490582:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7555102816709380887:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7555102816709380887"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7555102816709380887"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7555102816709380887:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7555102816709380887:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7555102816709380887"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7555102816709380887"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7555102816709380887:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7556236417095371542:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7556236417095371542"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7556236417095371542"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7556236417095371542:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7556236417095371542:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7556236417095371542"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7556236417095371542"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7556236417095371542:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7558784672715983638:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7558784672715983638"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7558784672715983638"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7558784672715983638:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7558784672715983638:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7558784672715983638"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7558784672715983638"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7558784672715983638:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7559611514619611926:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7559611514619611926"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7559611514619611926"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7559611514619611926:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7559611514619611926:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7559611514619611926"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7559611514619611926"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7559611514619611926:Link,,
