json_name,id,column_name,path,list_path,subfield_path,var_type,data_type,file_path,duplicate_flag,date_added,keepID
your_participation_requests.json,profile_information:your_facebook_activity:groups:your_participation_requests:media,media,"[""media""]",,"[""media""]",static,array,personal_information/profile_information/your_facebook_activity/groups/your_participation_requests.json,No,pre-trial,
your_participation_requests.json,profile_information:your_facebook_activity:groups:your_participation_requests:fbid,fbid,"[""fbid""]",,"[""fbid""]",static,string,personal_information/profile_information/your_facebook_activity/groups/your_participation_requests.json,No,pre-trial,
your_anonymous_mode_status_in_groups.json,profile_information:your_facebook_activity:groups:your_anonymous_mode_status_in_groups:media,media,"[""media""]",,"[""media""]",static,array,personal_information/profile_information/your_facebook_activity/groups/your_anonymous_mode_status_in_groups.json,No,pre-trial,
your_anonymous_mode_status_in_groups.json,profile_information:your_facebook_activity:groups:your_anonymous_mode_status_in_groups:fbid,fbid,"[""fbid""]",,"[""fbid""]",static,string,personal_information/profile_information/your_facebook_activity/groups/your_anonymous_mode_status_in_groups.json,No,pre-trial,
your_settings_for_groups_tab.json,profile_information:your_facebook_activity:groups:your_settings_for_groups_tab:media,media,"[""media""]",,"[""media""]",static,array,personal_information/profile_information/your_facebook_activity/groups/your_settings_for_groups_tab.json,No,pre-trial,
your_settings_for_groups_tab.json,profile_information:your_facebook_activity:groups:your_settings_for_groups_tab:fbid,fbid,"[""fbid""]",,"[""fbid""]",static,string,personal_information/profile_information/your_facebook_activity/groups/your_settings_for_groups_tab.json,No,pre-trial,
gaming_tab_notifications.json,profile_information:your_facebook_activity:facebook_gaming:gaming_tab_notifications:media,media,"[""media""]",,"[""media""]",static,array,personal_information/profile_information/your_facebook_activity/facebook_gaming/gaming_tab_notifications.json,No,pre-trial,
gaming_tab_notifications.json,profile_information:your_facebook_activity:facebook_gaming:gaming_tab_notifications:fbid,fbid,"[""fbid""]",,"[""fbid""]",static,string,personal_information/profile_information/your_facebook_activity/facebook_gaming/gaming_tab_notifications.json,No,pre-trial,
your_transaction_survey_information.json,profile_information:your_facebook_activity:facebook_marketplace:your_transaction_survey_information:media,media,"[""media""]",,"[""media""]",static,array,personal_information/profile_information/your_facebook_activity/facebook_marketplace/your_transaction_survey_information.json,No,pre-trial,
your_transaction_survey_information.json,profile_information:your_facebook_activity:facebook_marketplace:your_transaction_survey_information:fbid,fbid,"[""fbid""]",,"[""fbid""]",static,string,personal_information/profile_information/your_facebook_activity/facebook_marketplace/your_transaction_survey_information.json,No,pre-trial,
how_active_we_think_you_are_on_marketplace.json,profile_information:your_facebook_activity:facebook_marketplace:how_active_we_think_you_are_on_marketplace:media,media,"[""media""]",,"[""media""]",static,array,personal_information/profile_information/your_facebook_activity/facebook_marketplace/how_active_we_think_you_are_on_marketplace.json,No,pre-trial,
how_active_we_think_you_are_on_marketplace.json,profile_information:your_facebook_activity:facebook_marketplace:how_active_we_think_you_are_on_marketplace:fbid,fbid,"[""fbid""]",,"[""fbid""]",static,string,personal_information/profile_information/your_facebook_activity/facebook_marketplace/how_active_we_think_you_are_on_marketplace.json,No,pre-trial,
your_notification_status.json,profile_information:your_facebook_activity:facebook_marketplace:your_notification_status:media,media,"[""media""]",,"[""media""]",static,array,personal_information/profile_information/your_facebook_activity/facebook_marketplace/your_notification_status.json,No,pre-trial,
your_notification_status.json,profile_information:your_facebook_activity:facebook_marketplace:your_notification_status:fbid,fbid,"[""fbid""]",,"[""fbid""]",static,string,personal_information/profile_information/your_facebook_activity/facebook_marketplace/your_notification_status.json,No,pre-trial,
notification_tab_display_information.json,profile_information:your_facebook_activity:navigation_bar:notification_tab_display_information:timestamp,timestamp,"[""timestamp""]",,"[""timestamp""]",static,number,personal_information/profile_information/your_facebook_activity/navigation_bar/notification_tab_display_information.json,No,pre-trial,
notification_tab_display_information.json,profile_information:your_facebook_activity:navigation_bar:notification_tab_display_information:media,media,"[""media""]",,"[""media""]",static,array,personal_information/profile_information/your_facebook_activity/navigation_bar/notification_tab_display_information.json,No,pre-trial,
notification_tab_display_information.json,profile_information:your_facebook_activity:navigation_bar:notification_tab_display_information:fbid,fbid,"[""fbid""]",,"[""fbid""]",static,string,personal_information/profile_information/your_facebook_activity/navigation_bar/notification_tab_display_information.json,No,pre-trial,
your_tab_notifications.json,profile_information:your_facebook_activity:navigation_bar:your_tab_notifications:media,media,"[""media""]",,"[""media""]",static,array,personal_information/profile_information/your_facebook_activity/navigation_bar/your_tab_notifications.json,No,pre-trial,
your_tab_notifications.json,profile_information:your_facebook_activity:navigation_bar:your_tab_notifications:fbid,fbid,"[""fbid""]",,"[""fbid""]",static,string,personal_information/profile_information/your_facebook_activity/navigation_bar/your_tab_notifications.json,No,pre-trial,
