id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag
POI Review:Likes,Likes,"['POI Review', 'ReviewsList', 'Likes']","[""POI Review"", ""ReviewsList""]","""Likes""",list,string,,No
POI Review:ReviewText,ReviewText,"['POI Review', 'ReviewsList', 'ReviewText']","[""POI Review"", ""ReviewsList""]","""ReviewText""",list,string,,No
Profile Information:bioDescription,bioDescription,"['Profile Information', 'ProfileMap', 'bioDescription']",,"[""Profile Information"", ""ProfileMap"", ""bioDescription""]",static,string,,No
Profile Information:birthDate,birthDate,"['Profile Information', 'ProfileMap', 'birthDate']",,"[""Profile Information"", ""ProfileMap"", ""birthDate""]",static,string,,No
Profile Information:emailAddress,emailAddress,"['Profile Information', 'ProfileMap', 'emailAddress']",,"[""Profile Information"", ""ProfileMap"", ""emailAddress""]",static,string,,No
Profile Information:likesReceived,likesReceived,"['Profile Information', 'ProfileMap', 'likesReceived']",,"[""Profile Information"", ""ProfileMap"", ""likesReceived""]",static,string,,No
Profile Information:profilePhoto,profilePhoto,"['Profile Information', 'ProfileMap', 'profilePhoto']",,"[""Profile Information"", ""ProfileMap"", ""profilePhoto""]",static,string,,No
Profile Information:profileVideo,profileVideo,"['Profile Information', 'ProfileMap', 'profileVideo']",,"[""Profile Information"", ""ProfileMap"", ""profileVideo""]",static,string,,No
Profile Information:telephoneNumber,telephoneNumber,"['Profile Information', 'ProfileMap', 'telephoneNumber']",,"[""Profile Information"", ""ProfileMap"", ""telephoneNumber""]",static,string,,No
Profile Information:userName,userName,"['Profile Information', 'ProfileMap', 'userName']",,"[""Profile Information"", ""ProfileMap"", ""userName""]",static,string,,No
Go Live Settings:Allow agencies to find and invite you,Allow agencies to find and invite you,"['Go Live Settings', 'SettingsMap', 'Allow agencies to find and invite you']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow agencies to find and invite you""]",static,string,,No
Go Live Settings:Allow others to invite you to co-host in LIVE,Allow others to invite you to co-host in LIVE,"['Go Live Settings', 'SettingsMap', 'Allow others to invite you to co-host in LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow others to invite you to co-host in LIVE""]",static,string,,No
