id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path,duplicate_flag
Profile:Profile Info:ProfileMap:birthDate,birthDate,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""birthDate""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""birthDate""]",static,string,,,No
Profile:Profile Info:ProfileMap:displayName,displayName,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""displayName""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""displayName""]",static,string,,,No
Profile:Profile Info:ProfileMap:emailAddress,emailAddress,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""emailAddress""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""emailAddress""]",static,string,,,No
Profile:Profile Info:ProfileMap:followerCount,followerCount,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""followerCount""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""followerCount""]",static,number,,,No
Profile:Profile Info:ProfileMap:followingCount,followingCount,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""followingCount""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""followingCount""]",static,number,,,No
Profile:Profile Info:ProfileMap:inferredGender,inferredGender,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""inferredGender""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""inferredGender""]",static,string,,,No
Profile:Profile Info:ProfileMap:instagramLink,instagramLink,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""instagramLink""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""instagramLink""]",static,string,,,No
Profile:Profile Info:ProfileMap:lemon8Link,lemon8Link,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""lemon8Link""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""lemon8Link""]",static,string,,,No
Profile:Profile Info:ProfileMap:likesReceived,likesReceived,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""likesReceived""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""likesReceived""]",static,string,,,No
Profile:Profile Info:ProfileMap:profilePhoto,profilePhoto,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""profilePhoto""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""profilePhoto""]",static,string,,,No
Profile:Profile Info:ProfileMap:profileVideo,profileVideo,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""profileVideo""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""profileVideo""]",static,string,,,No
